species	HGNC	UniProtKB	gene	ID
HUMAN	8840	P12955	Xaa-Pro dipeptidase	PEPD
HUMAN	28862	Q6KC79	Nipped-B-like protein	NIPBL
HUMAN	1840	Q9BXF3	Cat eye syndrome critical region protein 2	CECR2
HUMAN	25503	Q9NW64	Pre-mRNA-splicing factor RBM22	RBM22
HUMAN	16821	P78316	Nucleolar protein 14	NOP14
HUMAN	10774	P23246	"Splicing factor, proline- and glutamine-rich"	SFPQ
HUMAN	24954	Q8WW32	High mobility group protein B4	HMGB4
HUMAN	2939	P51530	DNA replication ATP-dependent helicase/nuclease DNA2	DNA2
HUMAN	ENSG00000272762	C9JSA6	Uncharacterized protein (Fragment)	unassigned
HUMAN	6199	O75564	Jerky protein homolog	JRK
HUMAN	23019	Q15696	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2	ZRSR2
HUMAN	11354	Q8WVM7	Cohesin subunit SA-1	STAG1
HUMAN	8139	O95948	One cut domain family member 2	ONECUT2
HUMAN	10044	P07998	Ribonuclease pancreatic	RNASE1
HUMAN	8618	O43316	Paired box protein Pax-4	PAX4
HUMAN	5176	Q13601	KRR1 small subunit processome component homolog	KRR1
HUMAN	3298	O43432	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3
HUMAN	28040	Q5U5Q3	RNA-binding E3 ubiquitin-protein ligase MEX3C	MEX3C
HUMAN	24012	Q9BRS8	La-related protein 6	LARP6
HUMAN	1917	O14647	Chromodomain-helicase-DNA-binding protein 2	CHD2
HUMAN	19909	Q8N5L8	Ribonuclease P protein subunit p25-like protein	RPP25L
HUMAN	24170	Q8TDN6	Ribosome biogenesis protein BRX1 homolog	BRIX1
HUMAN	11204	P48436	Transcription factor SOX-9	SOX9
HUMAN	25325	Q6ZU64	Coiled-coil domain-containing protein 108	CCDC108
HUMAN	3474	P62508	Estrogen-related receptor gamma	ESRRG
HUMAN	21338	Q99811	Paired mesoderm homeobox protein 2	PRRX2
HUMAN	21577	Q8NB78	Lysine-specific histone demethylase 1B	KDM1B
HUMAN	35458	A6NHQ2	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	FBLL1
HUMAN	28648	Q8IYB7	DIS3-like exonuclease 2	DIS3L2
HUMAN	17277	Q96KR1	Zinc finger RNA-binding protein	ZFR
HUMAN	6594	P50458	LIM/homeobox protein Lhx2	LHX2
HUMAN	25408	Q9BQI6	Ankyrin repeat domain-containing protein 32	ANKRD32
HUMAN	14515	Q9NVS2	"28S ribosomal protein S18a, mitochondrial"	MRPS18A
HUMAN	15594	Q9UK59	Lariat debranching enzyme	DBR1
HUMAN	14063	P56524	Histone deacetylase 4	HDAC4
HUMAN	30447	Q8N2A8	Mitochondrial cardiolipin hydrolase	PLD6
HUMAN	27346	Q5VV17	OTU domain-containing protein 1	OTUD1
HUMAN	33517	Q86W11	Zinc finger and SCAN domain-containing protein 30	ZSCAN30
HUMAN	20422	Q9Y2S0	DNA-directed RNA polymerases I and III subunit RPAC2	POLR1D
HUMAN	23466	Q5VW22	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6"	AGAP6
HUMAN	5018	A2RU54	Homeobox protein HMX2	HMX2
HUMAN	1910	Q13111	Chromatin assembly factor 1 subunit A	CHAF1A
HUMAN	17731	Q8N2M8	CLK4-associating serine/arginine rich protein	CLASRP
HUMAN	18676	Q86XP3	ATP-dependent RNA helicase DDX42	DDX42
HUMAN	20164	Q8IX15	Homeobox and leucine zipper protein Homez	HOMEZ
HUMAN	7979	P08235	Mineralocorticoid receptor	NR3C2
HUMAN	30781	Q86TJ2	Transcriptional adapter 2-beta	TADA2B
HUMAN	16991	Q07065	Cytoskeleton-associated protein 4	CKAP4
HUMAN	1913	P18754	Regulator of chromosome condensation	RCC1
HUMAN	28706	Q96NU1	Sterile alpha motif domain-containing protein 11	SAMD11
HUMAN	1557	O95931	Chromobox protein homolog 7	CBX7
HUMAN	6551	Q9UJU2	Lymphoid enhancer-binding factor 1	LEF1
HUMAN	11192	Q9UN79	Transcription factor SOX-13	SOX13
HUMAN	4853	Q92769	Histone deacetylase 2	HDAC2
HUMAN	10440	P62081	40S ribosomal protein S7	RPS7
HUMAN	30073	Q14181	DNA polymerase alpha subunit B	POLA2
HUMAN	3285	P23588	Eukaryotic translation initiation factor 4B	EIF4B
HUMAN	17575	Q96T58	Msx2-interacting protein	SPEN
HUMAN	12661	Q9UIW0	Ventral anterior homeobox 2	VAX2
HUMAN	20256	Q5VUG0	Scm-like with four MBT domains protein 2	SFMBT2
HUMAN	13973	Q96KW2	POM121-like protein 2	POM121L2
HUMAN	30217	Q9UNQ2	Probable dimethyladenosine transferase	DIMT1
HUMAN	7527	Q9UIF7	A/G-specific adenine DNA glycosylase	MUTYH
HUMAN	11190	P56693	Transcription factor SOX-10	SOX10
HUMAN	3164	O60869	Endothelial differentiation-related factor 1	EDF1
HUMAN	10350	P62891	60S ribosomal protein L39	RPL39
HUMAN	17083	Q15050	Ribosome biogenesis regulatory protein homolog	RRS1
HUMAN	12744	Q9NP71	Carbohydrate-responsive element-binding protein	MLXIPL
HUMAN	3811	P55316	Forkhead box protein G1	FOXG1
HUMAN	955	Q9HBU1	Homeobox protein BarH-like 1	BARX1
HUMAN	7546	Q9BQG0	Myb-binding protein 1A	MYBBP1A
HUMAN	6644	P61968	LIM domain transcription factor LMO4	LMO4
HUMAN	29889	Q7RTR2	Protein NLRC3	NLRC3
HUMAN	6780	Q9ULX9	Transcription factor MafF	MAFF
HUMAN	11364	P40763	Signal transducer and activator of transcription 3	STAT3
HUMAN	4669	O00178	GTP-binding protein 1	GTPBP1
HUMAN	8086	P00973	2'-5'-oligoadenylate synthase 1	OAS1
HUMAN	12830	O43542	DNA repair protein XRCC3	XRCC3
HUMAN	16860	Q15020	Squamous cell carcinoma antigen recognized by T-cells 3	SART3
HUMAN	3319	Q99607	ETS-related transcription factor Elf-4	ELF4
HUMAN	26433	Q96NC0	Zinc finger matrin-type protein 2	ZMAT2
HUMAN	7675	Q99608	Necdin	NDN
HUMAN	23044	Q8WY41	Nanos homolog 1	NANOS1
HUMAN	3527	Q15910	Histone-lysine N-methyltransferase EZH2	EZH2
HUMAN	11589	P62380	TATA box-binding protein-like protein 1	TBPL1
HUMAN	13579	Q9Y5B6	PAX3- and PAX7-binding protein 1	PAXBP1
HUMAN	7059	P16455	Methylated-DNA--protein-cysteine methyltransferase	MGMT
HUMAN	367	Q92667	"A-kinase anchor protein 1, mitochondrial"	AKAP1
HUMAN	1919	Q14839	Chromodomain-helicase-DNA-binding protein 4	CHD4
HUMAN	16063	P55197	Protein AF-10	MLLT10
HUMAN	11367	P51692	Signal transducer and activator of transcription 5B	STAT5B
HUMAN	31749	Q8WW36	Zinc finger CCHC domain-containing protein 13	ZCCHC13
HUMAN	15911	O00567	Nucleolar protein 56	NOP56
HUMAN	14480	Q9NWU5	"39S ribosomal protein L22, mitochondrial"	MRPL22
HUMAN	3433	P07992	DNA excision repair protein ERCC-1	ERCC1
HUMAN	22932	Q9Y5P6	Mannose-1-phosphate guanyltransferase beta	GMPPB
HUMAN	20465	Q8IY18	Structural maintenance of chromosomes protein 5	SMC5
HUMAN	4714	P07305	Histone H1.0	H1F0
HUMAN	11590	Q16650	T-box brain protein 1	TBR1
HUMAN	13315	Q9BY41	Histone deacetylase 8	HDAC8
HUMAN	26678	Q7Z3K6	Mesoderm induction early response protein 3	MIER3
HUMAN	20	P49588	"Alanine--tRNA ligase, cytoplasmic"	AARS
HUMAN	19066	Q9Y330	Zinc finger and BTB domain-containing protein 12	ZBTB12
HUMAN	13518	Q9Y696	Chloride intracellular channel protein 4	CLIC4
HUMAN	7976	P24468	COUP transcription factor 2	NR2F2
HUMAN	17330	Q9NUL7	Probable ATP-dependent RNA helicase DDX28	DDX28
HUMAN	21747	Q17RY0	Cytoplasmic polyadenylation element-binding protein 4	CPEB4
HUMAN	20263	Q96T68	Histone-lysine N-methyltransferase SETDB2	SETDB2
HUMAN	5125	P31276	Homeobox protein Hox-C13	HOXC13
HUMAN	29088	Q29RF7	Sister chromatid cohesion protein PDS5 homolog A	PDS5A
HUMAN	20661	Q70HW3	S-adenosylmethionine mitochondrial carrier protein	SLC25A26
HUMAN	30713	Q96M93	Adenosine deaminase domain-containing protein 1	ADAD1
HUMAN	18468	Q9NQE9	Histidine triad nucleotide-binding protein 3	HINT3
HUMAN	11604	Q99593	T-box transcription factor TBX5	TBX5
HUMAN	6641	P25800	Rhombotin-1	LMO1
HUMAN	10048	Q93091	Ribonuclease K6	RNASE6
HUMAN	16167	Q5JPB2	Zinc finger protein 831	ZNF831
HUMAN	3805	Q12950	Forkhead box protein D4	FOXD4
HUMAN	23064	Q9H4Y5	Glutathione S-transferase omega-2	GSTO2
HUMAN	10344	P42766	60S ribosomal protein L35	RPL35
HUMAN	9022	P55347	Homeobox protein PKNOX1	PKNOX1
HUMAN	23323	Q9H1U9	Solute carrier family 25 member 51	SLC25A51
HUMAN	11722	Q10587	Thyrotroph embryonic factor	TEF
HUMAN	16922	Q9UPQ3	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1"	AGAP1
HUMAN	29681	Q9BSK2	Solute carrier family 25 member 33	SLC25A33
HUMAN	20470	Q9UK45	U6 snRNA-associated Sm-like protein LSm7	LSM7
HUMAN	27442	Q8N413	Solute carrier family 25 member 45	SLC25A45
HUMAN	22940	Q86W28	"NACHT, LRR and PYD domains-containing protein 8"	NLRP8
HUMAN	4719	P16401	Histone H1.5	HIST1H1B
HUMAN	24818	Q9P0K8	Forkhead box protein J2	FOXJ2
HUMAN	10581	Q9UQR0	Sex comb on midleg-like protein 2	SCML2
HUMAN	11407	Q9BXU1	Serine/threonine-protein kinase 31	STK31
HUMAN	3250	P47813	"Eukaryotic translation initiation factor 1A, X-chromosomal"	EIF1AX
HUMAN	18417	O75409	Huntingtin-interacting protein M	CXorf27
HUMAN	11102	Q9NZC9	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	SMARCAL1
HUMAN	10404	P15880	40S ribosomal protein S2	RPS2
HUMAN	9005	Q99697	Pituitary homeobox 2	PITX2
HUMAN	28507	Q8NHP7	Exonuclease 3'-5' domain-containing protein 1	EXD1
HUMAN	7802	Q6P4R8	Nuclear factor related to kappa-B-binding protein	NFRKB
HUMAN	15986	Q9H9Z2	Protein lin-28 homolog A	LIN28A
HUMAN	4024	P51116	Fragile X mental retardation syndrome-related protein 2	FXR2
HUMAN	3258	P49770	Translation initiation factor eIF-2B subunit beta	EIF2B2
HUMAN	31986	Q3SYB3	Forkhead box protein D4-like 6	FOXD4L6
HUMAN	16390	Q9Y239	Nucleotide-binding oligomerization domain-containing protein 1	NOD1
HUMAN	19275	Q5GAN6	Inactive ribonuclease-like protein 10	RNASE10
HUMAN	ENSG00000173727	I3L084	Protein LOC101927789	LOC101927789
HUMAN	7965	P55055	Oxysterols receptor LXR-beta	NR1H2
HUMAN	7977	P10588	Nuclear receptor subfamily 2 group F member 6	NR2F6
HUMAN	4716	P16403	Histone H1.2	HIST1H1C
HUMAN	16989	Q9UBU8	Mortality factor 4-like protein 1	MORF4L1
HUMAN	28277	Q8N8B7	Transcription elongation factor A N-terminal and central domain-containing protein	TCEANC
HUMAN	23820	Q96AV8	Transcription factor E2F7	E2F7
HUMAN	2557	P39880	Homeobox protein cut-like 1	CUX1
HUMAN	3318	P78545	ETS-related transcription factor Elf-3	ELF3
HUMAN	17211	Q92620	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	DHX38
HUMAN	14044	Q4U2R6	"39S ribosomal protein L51, mitochondrial"	MRPL51
HUMAN	28350	Q9BV97	KRAB domain-containing protein ZNF747	ZNF747
HUMAN	33630	C9JE40	Protein PAT1 homolog 2	PATL2
HUMAN	19086	Q96DB2	Histone deacetylase 11	HDAC11
HUMAN	3118	Q16254	Transcription factor E2F4	E2F4
HUMAN	2717	Q16531	DNA damage-binding protein 1	DDB1
HUMAN	797	Q92858	Protein atonal homolog 1	ATOH1
HUMAN	2735	Q13206	Probable ATP-dependent RNA helicase DDX10	DDX10
HUMAN	6948	P33992	DNA replication licensing factor MCM5	MCM5
HUMAN	11593	O75333	T-box transcription factor TBX10	TBX10
HUMAN	10315	P35268	60S ribosomal protein L22	RPL22
HUMAN	7673	Q9Y618	Nuclear receptor corepressor 2	NCOR2
HUMAN	3300	P63241	Eukaryotic translation initiation factor 5A-1	EIF5A
HUMAN	379	Q99996	A-kinase anchor protein 9	AKAP9
HUMAN	17981	O00442	RNA 3'-terminal phosphate cyclase	RTCA
HUMAN	17440	Q8NHY2	E3 ubiquitin-protein ligase RFWD2	RFWD2
HUMAN	10449	Q92766	Ras-responsive element-binding protein 1	RREB1
HUMAN	25474	Q8TC92	Ecto-NOX disulfide-thiol exchanger 1	ENOX1
HUMAN	29535	Q9Y483	Metal-response element-binding transcription factor 2	MTF2
HUMAN	3942	P42345	Serine/threonine-protein kinase mTOR	MTOR
HUMAN	25285	Q5GAN3	Probable inactive ribonuclease-like protein 13	RNASE13
HUMAN	13780	Q96RP9	"Elongation factor G, mitochondrial"	GFM1
HUMAN	11099	Q14527	Helicase-like transcription factor	HLTF
HUMAN	14410	Q9H2U1	Probable ATP-dependent RNA helicase DHX36	DHX36
HUMAN	10421	P61247	40S ribosomal protein S3a	RPS3A
HUMAN	11972	O15405	TOX high mobility group box family member 3	TOX3
HUMAN	6654	O60663	LIM homeobox transcription factor 1-beta	LMX1B
HUMAN	24813	Q6VB85	Forkhead box protein D4-like 2	FOXD4L2
HUMAN	22918	Q9H5J0	Zinc finger and BTB domain-containing protein 3	ZBTB3
HUMAN	22982	Q92613	Protein Jade-3	JADE3
HUMAN	8621	P23759	Paired box protein Pax-7	PAX7
HUMAN	11963	Q8NFJ8	Class E basic helix-loop-helix protein 22	BHLHE22
HUMAN	3275	O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F
HUMAN	2347	O43889	Cyclic AMP-responsive element-binding protein 3	CREB3
HUMAN	7611	P15172	Myoblast determination protein 1	MYOD1
HUMAN	1799	Q01850	Cerebellar degeneration-related protein 2	CDR2
HUMAN	29377	Q5H9K5	Zinc finger matrin-type protein 1	ZMAT1
HUMAN	20663	Q6KCM7	Calcium-binding mitochondrial carrier protein SCaMC-2	SLC25A25
HUMAN	15860	O94906	Pre-mRNA-processing factor 6	PRPF6
HUMAN	30857	Q96DI7	U5 small nuclear ribonucleoprotein 40 kDa protein	SNRNP40
HUMAN	25612	Q8IZM8	Zinc finger protein 654	ZNF654
HUMAN	12756	P57081	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	WDR4
HUMAN	32179	A6NLW8	Double homeobox protein A	DUXA
HUMAN	13824	Q96T76	MMS19 nucleotide excision repair protein homolog	MMS19
HUMAN	5103	O43364	Homeobox protein Hox-A2	HOXA2
HUMAN	11199	P41225	Transcription factor SOX-3	SOX3
HUMAN	17688	P78346	Ribonuclease P protein subunit p30	RPP30
HUMAN	14497	Q9NV31	U3 small nucleolar ribonucleoprotein protein IMP3	IMP3
HUMAN	2673	P51398	"28S ribosomal protein S29, mitochondrial"	DAP3
HUMAN	25553	Q9NVN8	Guanine nucleotide-binding protein-like 3-like protein	GNL3L
HUMAN	24281	Q8N6M0	OTU domain-containing protein 6B	OTUD6B
HUMAN	4748	Q99880	Histone H2B type 1-L	HIST1H2BL
HUMAN	7013	P50221	Homeobox protein MOX-1	MEOX1
HUMAN	6954	Q8NEM0	Microcephalin	MCPH1
HUMAN	22923	Q96IJ6	Mannose-1-phosphate guanyltransferase alpha	GMPPA
HUMAN	ENSG00000257411	H0YIN7	Uncharacterized protein (Fragment)	unassigned
HUMAN	17798	P49750	YLP motif-containing protein 1	YLPM1
HUMAN	11112	Q8NDV3	Structural maintenance of chromosomes protein 1B	SMC1B
HUMAN	13631	Q9Y3U8	60S ribosomal protein L36	RPL36
HUMAN	4753	P62807	Histone H2B type 1-C/E/F/G/I	HIST1H2BC
HUMAN	4173	P43694	Transcription factor GATA-4	GATA4
HUMAN	26054	Q96DW6	Solute carrier family 25 member 38	SLC25A38
HUMAN	14957	Q14671	Pumilio homolog 1	PUM1
HUMAN	4670	Q9BX10	GTP-binding protein 2	GTPBP2
HUMAN	25360	Q5T1V6	Probable ATP-dependent RNA helicase DDX59	DDX59
HUMAN	12974	O15541	RING finger protein 113A	RNF113A
HUMAN	27607	O75864	Protein phosphatase 1 regulatory subunit 37	PPP1R37
HUMAN	8574	P43034	Platelet-activating factor acetylhydrolase IB subunit alpha	PAFAH1B1
HUMAN	7894	Q99742	Neuronal PAS domain-containing protein 1	NPAS1
HUMAN	23660	A8MT82	Putative centaurin-gamma-like family member 11P	CTGLF11P
HUMAN	32312	Q7L8S5	OTU domain-containing protein 6A	OTUD6A
HUMAN	10985	Q9Y619	Mitochondrial ornithine transporter 1	SLC25A15
HUMAN	15936	Q14686	Nuclear receptor coactivator 6	NCOA6
HUMAN	10472	Q13950	Runt-related transcription factor 2	RUNX2
HUMAN	24126	Q96SQ7	Protein atonal homolog 8	ATOH8
HUMAN	20225	Q92782	Zinc finger protein neuro-d4	DPF1
HUMAN	9950	O94762	ATP-dependent DNA helicase Q5	RECQL5
HUMAN	27371	Q5SVS4	Kidney mitochondrial carrier protein 1	SLC25A30
HUMAN	3809	Q12946	Forkhead box protein F1	FOXF1
HUMAN	23324	Q3SY17	Solute carrier family 25 member 52	SLC25A52
HUMAN	6062	Q9UK53	Inhibitor of growth protein 1	ING1
HUMAN	30723	Q6P9F0	Coiled-coil domain-containing protein 62	CCDC62
HUMAN	6912	P43243	Matrin-3	MATR3
HUMAN	11712	Q9BXT4	Tudor domain-containing protein 1	TDRD1
HUMAN	ENSG00000258064	F8VRH5	Uncharacterized protein (Fragment)	unassigned
HUMAN	6205	P17275	Transcription factor jun-B	JUNB
HUMAN	30696	Q8NI36	WD repeat-containing protein 36	WDR36
HUMAN	7200	Q9HCE1	Putative helicase MOV-10	MOV10
HUMAN	14504	P82914	"28S ribosomal protein S15, mitochondrial"	MRPS15
HUMAN	28461	Q9BVI4	Nucleolar complex protein 4 homolog	NOC4L
HUMAN	24727	A0AVK6	Transcription factor E2F8	E2F8
HUMAN	3260	Q9UI10	Translation initiation factor eIF-2B subunit delta	EIF2B4
HUMAN	25663	Q9HAJ7	Histone deacetylase complex subunit SAP30L	SAP30L
HUMAN	5542	P38935	DNA-binding protein SMUBP-2	IGHMBP2
HUMAN	30292	Q13283	Ras GTPase-activating protein-binding protein 1	G3BP1
HUMAN	11307	P08240	Signal recognition particle receptor subunit alpha	SRPR
HUMAN	9865	P10826	Retinoic acid receptor beta	RARB
HUMAN	3265	P05198	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1
HUMAN	29401	Q5VVJ2	Histone H2A deubiquitinase MYSM1	MYSM1
HUMAN	25513	Q9H9Y4	GPN-loop GTPase 2	GPN2
HUMAN	18279	Q9NYH9	U3 small nucleolar RNA-associated protein 6 homolog	UTP6
HUMAN	17928	Q9P2W1	Homologous-pairing protein 2 homolog	PSMC3IP
HUMAN	11641	Q9NQB0	Transcription factor 7-like 2	TCF7L2
HUMAN	10025	Q13129	Zinc finger protein Rlf	RLF
HUMAN	18248	Q6IA86	Elongator complex protein 2	ELP2
HUMAN	6782	O60675	Transcription factor MafK	MAFK
HUMAN	16746	Q5VZF2	Muscleblind-like protein 2	MBNL2
HUMAN	5019	A6NHT5	Homeobox protein HMX3	HMX3
HUMAN	10524	Q9NSC2	Sal-like protein 1	SALL1
HUMAN	19057	Q8TD26	Chromodomain-helicase-DNA-binding protein 6	CHD6
HUMAN	5177	O95081	Arf-GAP domain and FG repeat-containing protein 2	AGFG2
HUMAN	4730	P0C0S8	Histone H2A type 1	HIST1H2AG
HUMAN	9130	A8MQ11	Postmeiotic segregation increased 2-like protein 5	PMS2P5
HUMAN	3508	Q01844	RNA-binding protein EWS	EWSR1
HUMAN	10327	P61254	60S ribosomal protein L26	RPL26
HUMAN	11640	Q9HCS4	Transcription factor 7-like 1	TCF7L1
HUMAN	16764	Q15916	Zinc finger and BTB domain-containing protein 6	ZBTB6
HUMAN	3493	P43268	ETS translocation variant 4	ETV4
HUMAN	19954	Q9H936	Mitochondrial glutamate carrier 1	SLC25A22
HUMAN	26047	Q8WUE5	Cancer/testis antigen 55	CT55
HUMAN	23504	Q86XD8	AN1-type zinc finger protein 4	ZFAND4
HUMAN	28400	Q5DJT8	Cancer/testis antigen family 45 member A2	CT45A2
HUMAN	14456	Q9BTM1	Histone H2A.J	H2AFJ
HUMAN	24902	Q8WUY9	DEP domain-containing protein 1B	DEPDC1B
HUMAN	11311	Q05066	Sex-determining region Y protein	SRY
HUMAN	20359	Q6ZU80	Centrosomal protein of 128 kDa	CEP128
HUMAN	2324	Q10570	Cleavage and polyadenylation specificity factor subunit 1	CPSF1
HUMAN	3797	P53539	Protein fosB	FOSB
HUMAN	13203	Q9GZX7	Single-stranded DNA cytosine deaminase	AICDA
HUMAN	29890	Q86UT6	NLR family member X1	NLRX1
HUMAN	26232	Q96AH0	SOSS complex subunit B2	NABP1
HUMAN	18042	Q96LI5	CCR4-NOT transcription complex subunit 6-like	CNOT6L
HUMAN	19347	O14529	Homeobox protein cut-like 2	CUX2
HUMAN	24543	Q52LR7	Enhancer of polycomb homolog 2	EPC2
HUMAN	17257	O95238	SAM pointed domain-containing Ets transcription factor	SPDEF
HUMAN	19278	Q9H1E1	Ribonuclease 7	RNASE7
HUMAN	12829	O43543	DNA repair protein XRCC2	XRCC2
HUMAN	8616	Q02962	Paired box protein Pax-2	PAX2
HUMAN	6944	P49736	DNA replication licensing factor MCM2	MCM2
HUMAN	3477	P62495	Eukaryotic peptide chain release factor subunit 1	ETF1
HUMAN	21339	O60522	Tudor domain-containing protein 6	TDRD6
HUMAN	14675	P78412	Iroquois-class homeodomain protein IRX-6	IRX6
HUMAN	30469	Q6PJQ5	Forkhead box protein R2	FOXR2
HUMAN	23383	Q9HCK0	Zinc finger and BTB domain-containing protein 26	ZBTB26
HUMAN	14216	Q9H2C1	LIM/homeobox protein Lhx5	LHX5
HUMAN	25577	Q9HCJ3	Ribonucleoprotein PTB-binding 2	RAVER2
HUMAN	1101	P51587	Breast cancer type 2 susceptibility protein	BRCA2
HUMAN	25789	Q7Z2Z2	Elongation factor Tu GTP-binding domain-containing protein 1	EFTUD1
HUMAN	18380	Q7L1Q6	Basic leucine zipper and W2 domain-containing protein 1	BZW1
HUMAN	12950	Q15637	Splicing factor 1	SF1
HUMAN	4738	Q16777	Histone H2A type 2-C	HIST2H2AC
HUMAN	3804	Q9UJU5	Forkhead box protein D3	FOXD3
HUMAN	4720	P22492	Histone H1t	HIST1H1T
HUMAN	28079	Q86UK7	Zinc finger protein 598	ZNF598
HUMAN	29187	Q9UPS6	Histone-lysine N-methyltransferase SETD1B	SETD1B
HUMAN	6200	Q9Y4A0	Jerky protein homolog-like	JRKL
HUMAN	23784	Q9BTC8	Metastasis-associated protein MTA3	MTA3
HUMAN	24477	Q9NQZ2	Something about silencing protein 10	UTP3
HUMAN	23472	Q96A46	Mitoferrin-2	SLC25A28
HUMAN	16421	P35712	Transcription factor SOX-6	SOX6
HUMAN	7786	P08651	Nuclear factor 1 C-type	NFIC
HUMAN	25982	Q5T3I0	G patch domain-containing protein 4	GPATCH4
HUMAN	2721	O43150	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2"	ASAP2
HUMAN	16652	Q9HD33	"39S ribosomal protein L47, mitochondrial"	MRPL47
HUMAN	17210	Q8IY37	Probable ATP-dependent RNA helicase DHX37	DHX37
HUMAN	7975	P10589	COUP transcription factor 1	NR2F1
HUMAN	5724	Q06330	Recombining binding protein suppressor of hairless	RBPJ
HUMAN	28272	B2RD01	CENPB DNA-binding domain-containing protein 1	CENPBD1
HUMAN	7555	P12524	Protein L-Myc	MYCL
HUMAN	25725	Q8IWA0	WD repeat-containing protein 75	WDR75
HUMAN	28466	Q9BT43	DNA-directed RNA polymerase III subunit RPC7-like	POLR3GL
HUMAN	19910	Q9H6R4	Nucleolar protein 6	NOL6
HUMAN	18410	O60281	Zinc finger protein 292	ZNF292
HUMAN	21919	Q9H0J9	Poly [ADP-ribose] polymerase 12	PARP12
HUMAN	15861	Q9H5Z1	Probable ATP-dependent RNA helicase DHX35	DHX35
HUMAN	9006	O75364	Pituitary homeobox 3	PITX3
HUMAN	227	Q9NS39	Double-stranded RNA-specific editase B2	ADARB2
HUMAN	9897	P57052	Splicing regulator RBM11	RBM11
HUMAN	273	Q9Y6F1	Poly [ADP-ribose] polymerase 3	PARP3
HUMAN	3325	P41970	ETS domain-containing protein Elk-3	ELK3
HUMAN	18018	Q8IX18	Probable ATP-dependent RNA helicase DHX40	DHX40
HUMAN	4983	P09429	High mobility group protein B1	HMGB1
HUMAN	9174	P06746	DNA polymerase beta	POLB
HUMAN	3254	Q9BY44	Eukaryotic translation initiation factor 2A	EIF2A
HUMAN	19866	Q05BQ5	MBT domain-containing protein 1	MBTD1
HUMAN	9413	P78527	DNA-dependent protein kinase catalytic subunit	PRKDC
HUMAN	15984	Q7Z2E3	Aprataxin	APTX
HUMAN	2890	O60832	H/ACA ribonucleoprotein complex subunit 4	DKC1
HUMAN	17165	Q9UBB9	Tuftelin-interacting protein 11	TFIP11
HUMAN	25745	Q9H9L3	Interferon-stimulated 20 kDa exonuclease-like 2	ISG20L2
HUMAN	10401	P62269	40S ribosomal protein S18	RPS18
HUMAN	1551	P83916	Chromobox protein homolog 1	CBX1
HUMAN	29786	Q9NYZ2	Mitoferrin-1	SLC25A37
HUMAN	10783	Q01130	Serine/arginine-rich splicing factor 2	SRSF2
HUMAN	25651	Q9C0J8	pre-mRNA 3' end processing protein WDR33	WDR33
HUMAN	10986	P16260	Graves disease carrier protein	SLC25A16
HUMAN	25403	Q6UVJ0	Spindle assembly abnormal protein 6 homolog	SASS6
HUMAN	13802	Q9HD90	Neurogenic differentiation factor 4	NEUROD4
HUMAN	11194	P35713	Transcription factor SOX-18	SOX18
HUMAN	17057	Q9Y2G2	Caspase recruitment domain-containing protein 8	CARD8
HUMAN	28666	Q9BQ75	Protein CMSS1	CMSS1
HUMAN	3115	O00716	Transcription factor E2F3	E2F3
HUMAN	951	P78367	Homeobox protein Nkx-3.2	NKX3-2
HUMAN	7128	Q9UHC1	DNA mismatch repair protein Mlh3	MLH3
HUMAN	13806	Q9Y4Z2	Neurogenin-3	NEUROG3
HUMAN	10334	P62899	60S ribosomal protein L31	RPL31
HUMAN	26259	Q5D1E8	Ribonuclease ZC3H12A	ZC3H12A
HUMAN	ENSG00000214325	H0YFN1	Uncharacterized protein	unassigned
HUMAN	28495	Q8IZ20	Zinc finger protein 683	ZNF683
HUMAN	3083	Q96PT3	Double homeobox protein 5	DUX5
HUMAN	11745	Q01664	Transcription factor AP-4	TFAP4
HUMAN	20082	Q8N8A6	ATP-dependent RNA helicase DDX51	DDX51
HUMAN	9184	Q9UGP5	DNA polymerase lambda	POLL
HUMAN	3599	P22087	rRNA 2'-O-methyltransferase fibrillarin	FBL
HUMAN	18458	Q9BWX1	PHD finger protein 7	PHF7
HUMAN	7328	O43196	MutS protein homolog 5	MSH5
HUMAN	13104	Q9Y5A6	Zinc finger and SCAN domain-containing protein 21	ZSCAN21
HUMAN	23035	Q96JM7	Lethal(3)malignant brain tumor-like protein 3	L3MBTL3
HUMAN	24763	Q6ZVT6	Uncharacterized protein C3orf67	C3orf67
HUMAN	20194	O15160	DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C
HUMAN	4055	P12956	X-ray repair cross-complementing protein 6	XRCC6
HUMAN	4186	P52951	Homeobox protein GBX-2	GBX2
